x_coord, y_coord, z_coord, cost, zone
113300, 117000, 0, 0, 1
122000, 115500, 0, 0, 1
122900, 118800, 0, 0, 1
108599.34407896471, 119124.61097942466, -17.969321532731254, 1964625.3407984052, 1
108985.72692225907, 120233.69069418007, -19.760061534606123, 2094644.883818533, 1
109500.90404665154, 118570.07112204695, -16.203464419411766, 1836412.4597144625, 1
109500.90404665154, 121342.77040893548, -25.83322705070921, 2535596.7831800235, 1
109758.49260884778, 119540.51587245794, -16.438480284087237, 1853476.1625946087, 1
109887.2868899459, 122313.21515934647, -31.50410638271389, 2947340.0504871546, 1
110273.66973324025, 120649.59558721335, -21.412468187382736, 2214620.5126940235, 1
110273.66973324025, 123145.02494541302, -34.35459567154662, 3154304.386085717, 1
110402.46401433837, 118015.53126466925, -17.33479428184168, 1918554.4745039665, 1
110660.05257653461, 121758.67530196876, -28.453670600325744, 2725858.279809611, 1
110660.05257653461, 123976.83473147958, -34.70962922932897, 3180082.165602197, 1
111046.43541982897, 124808.64451754614, -33.26482282839113, 3075179.6851718635, 1
111304.0239820252, 117460.99140729154, -20.36665029471439, 2138687.2312882096, 1
111432.81826312332, 125640.4543036127, -30.937074429453805, 2906169.7882695803, 1
111947.9953875158, 126749.53401836811, -27.622091195371926, 2665480.126585891, 1
112076.78966861391, 118431.43615770253, -18.28543944722064, 1987577.58776857, 1
112205.58394971203, 117045.08651425826, -22.16065640189, 2268943.9151094663, 1
112205.58394971203, 119401.88090811351, -18.340002676670164, 1991539.23834392, 1
112334.37823081015, 127581.34380443467, -25.144865748499527, 2485617.209455006, 1
112463.17251190827, 120510.96062286892, -21.723469985157553, 2237201.2958243405, 1
112720.7610741045, 121620.04033762433, -26.341613784187157, 2572509.015382963, 1
112720.7610741045, 128413.15359050123, -22.54446764077948, 2296811.14420702, 1
112849.55535520262, 122590.48508803532, -29.953918865101226, 2834786.205470859, 1
112978.34963630074, 116490.54665688056, -22.053100948477017, 2261134.6793256914, 1
113107.14391739886, 123699.56480279073, -32.26628158209893, 3002679.000318824, 1
113107.14391739886, 129244.96337656779, -21.249697457405404, 2202802.283410851, 1
113235.93819849698, 124670.00955320171, -32.13096791790747, 2992854.3352283402, 1
113493.52676069322, 125640.4543036127, -30.101854133703874, 2845527.2823441834, 1
113493.52676069322, 130076.77316263434, -22.993273148538094, 2329397.386186646, 1
113622.32104179134, 126610.89905402368, -26.629887925778306, 2593439.6206718152, 1
113879.90960398757, 127581.34380443467, -22.436977206420686, 2289006.6292357044, 1
114008.70388508569, 115797.37183515842, -18.87616622011327, 2030468.2502772762, 1
114137.49816618381, 128690.42351919008, -18.601456990040226, 2010522.5470930547, 1
114266.29244728193, 116906.45154991384, -18.72896922830048, 2019780.7771715214, 1
114395.08672838005, 129660.86826960107, -18.980614776987863, 2038051.9048668472, 1
114523.88100947817, 118015.53126466925, -17.30457191529347, 1916360.1312249468, 1
114781.4695716744, 119263.24594376908, -16.098750729206618, 1828809.5546952132, 1
114910.26385277252, 115242.83197778072, -16.988374872441284, 1893402.1390133952, 1
115039.05813387064, 120372.3256585245, -17.15004288550821, 1905140.3037709405, 1
115296.64669606688, 121481.40537327991, -20.677616122237136, 2161265.402740823, 1
115296.64669606688, 128135.88366181238, -18.467277067199845, 2000780.1991073524, 1
115425.440977165, 122451.85012369089, -25.89635239532142, 2540180.0998261445, 1
115425.440977165, 129106.32841222336, -15.962050017121278, 1818884.1807731178, 1
115683.02953936123, 123560.9298384463, -31.879843178881085, 2974621.0217517475, 1
115811.82382045935, 114688.29212040301, -16.90415742743164, 1887287.3966705583, 1
115811.82382045935, 124531.37458885729, -34.49559050775204, 3164541.5417601494, 1
115940.61810155747, 125501.81933926827, -33.124837071540966, 3065015.7953185462, 1
116198.2066637537, 126472.26408967926, -28.275430485172066, 2712916.871064694, 1
116327.00094485182, 127442.70884009024, -22.068686674709213, 2262266.305915942, 1
116455.79522594994, 128551.78855484565, -16.750825872553406, 1876154.5137981363, 1
116713.38378814618, 114133.75226302531, -15.870652753811887, 1812248.1362349181, 1
116842.1780692443, 115797.37183515842, -20.154305213159294, 2123269.5768897715, 1
116970.97235034242, 116767.81658556941, -20.44483107641782, 2144363.672033038, 1
117228.56091253865, 117876.89630032482, -20.280397794323953, 2132424.7304933616, 1
117357.35519363677, 118847.3410507358, -20.410863976007878, 2141897.4363604137, 1
117614.94375583301, 113579.2124056476, -13.158695444236738, 1615342.1366415191, 1
117614.94375583301, 120233.69069418007, -22.236687090282402, 2274464.2448892985, 1
117743.73803693113, 127858.61373312352, -20.856578139194195, 2174259.226321217, 1
117872.53231802925, 121342.77040893548, -24.33380236260649, 2426728.654620825, 1
118001.32659912737, 122313.21515934647, -26.441880823051573, 2579789.064166976, 1
118258.9151613236, 123422.29487410188, -29.466569677522664, 2799401.437948017, 1
118387.70944242172, 124392.73962451286, -31.242053990572213, 2928313.3172718803, 1
118516.50372351984, 113024.6725482699, -11.291740842755361, 1479788.9106736016, 1
118516.50372351984, 125363.18437492385, -31.00930229757848, 2911414.0081993616, 1
118645.29800461796, 126333.62912533483, -28.487661713022284, 2728326.2589327237, 1
118774.09228571608, 127304.07387574582, -24.849806038210758, 2464193.9270939534, 1
119418.06369120667, 112608.76765523662, -13.396193764877008, 1632586.082208919, 1
119546.85797230479, 113717.84736999203, -13.535654167631215, 1642711.8278875325, 1
119675.6522534029, 114688.29212040301, -17.597418325779547, 1937622.7134125454, 1
119804.44653450102, 115658.736870814, -23.60748043420581, 2373992.888894208, 1
119933.24081559914, 116629.18162122498, -29.131485692691093, 2775072.1290949453, 1
